,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,418.0,480.0,507.0,643.0,769.0,674.0,679.0,1069.0,1391.0,1270
Expenses,339.0,396.0,441.0,562.0,667.0,591.0,600.0,911.0,1160.0,1060
Operating Profit,79.0,84.0,66.0,81.0,102.0,82.0,79.0,158.0,231.0,210
OPM %,19.0,18.0,13.0,13.0,13.0,12.0,12.0,15.0,17.0,17
Other Income,1.0,2.0,7.0,8.0,3.0,7.0,3.0,6.0,15.0,14
Interest,34.0,37.0,44.0,49.0,47.0,39.0,27.0,28.0,35.0,36
Depreciation,12.0,13.0,16.0,19.0,21.0,20.0,20.0,23.0,26.0,29
Profit before tax,34.0,36.0,14.0,22.0,37.0,30.0,34.0,112.0,185.0,159
Tax %,36.0,41.0,52.0,35.0,35.0,27.0,-1.0,28.0,26.0,
Net Profit,22.0,21.0,7.0,14.0,24.0,22.0,34.0,81.0,137.0,120
EPS in Rs,3.66,3.56,1.1,2.42,4.08,3.72,5.78,13.63,22.86,19.74
