,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,706.0,812.0,1210.0,1125.0,1403.0,1861.0,1725.0,1721.0,2586.0,3435.0,3422.0,3947
Expenses,553.0,634.0,711.0,707.0,838.0,942.0,912.0,823.0,993.0,1250.0,1313.0,1469
Operating Profit,153.0,178.0,499.0,417.0,566.0,919.0,813.0,898.0,1593.0,2185.0,2109.0,2478
OPM %,22.0,22.0,41.0,37.0,40.0,49.0,47.0,52.0,62.0,64.0,62.0,63
Other Income,0.0,-0.0,-2.0,-1.0,1.0,-2.0,1.0,3.0,-1.0,4.0,4.0,1
Interest,31.0,25.0,31.0,26.0,29.0,50.0,42.0,86.0,107.0,274.0,536.0,727
Depreciation,14.0,13.0,16.0,16.0,15.0,15.0,15.0,61.0,54.0,63.0,75.0,88
Profit before tax,109.0,140.0,450.0,374.0,522.0,852.0,757.0,753.0,1431.0,1853.0,1501.0,1664
Tax %,34.0,36.0,35.0,36.0,35.0,35.0,35.0,28.0,25.0,25.0,26.0,
Net Profit,72.0,89.0,294.0,239.0,339.0,553.0,491.0,542.0,1068.0,1383.0,1118.0,1238
EPS in Rs,0.89,1.11,3.65,2.96,4.2,17.18,15.23,16.82,33.14,42.85,34.62,38.34
