,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,35.0,249.0,419.0,397.0,356
Expenses,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,32.0,232.0,387.0,377.0,340
Operating Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,32.0,20.0,16
OPM %,,1.0,,17.0,9.0,23.0,26.0,16.0,9.0,7.0,8.0,5.0,4
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,11.0,12
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,7
Profit before tax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,13.0,1.0,-2
Tax %,,0.0,,25.0,40.0,29.0,31.0,28.0,24.0,32.0,26.0,60.0,
Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,0.0,-2
EPS in Rs,0.0,0.41,0.0,0.1,0.1,0.33,0.4,0.6,1.55,3.55,6.21,0.09,-0.49
