,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1327.0,1373.0,1371.0,1651.0,2700.0,4230.0,4360.0,6802.0,7972.0,7499
Expenses,1187.0,1204.0,1231.0,1447.0,2278.0,3194.0,3108.0,5196.0,6680.0,6324
Operating Profit,140.0,169.0,139.0,204.0,421.0,1035.0,1252.0,1607.0,1292.0,1175
OPM %,11.0,12.0,10.0,12.0,16.0,24.0,29.0,24.0,16.0,16
Other Income,1.0,-0.0,80.0,7.0,11.0,29.0,20.0,42.0,46.0,75
Interest,38.0,40.0,37.0,47.0,87.0,118.0,77.0,36.0,27.0,15
Depreciation,36.0,40.0,48.0,53.0,78.0,140.0,153.0,178.0,166.0,160
Profit before tax,67.0,89.0,135.0,111.0,268.0,806.0,1042.0,1434.0,1146.0,1075
Tax %,21.0,29.0,28.0,29.0,35.0,24.0,26.0,26.0,26.0,
Net Profit,53.0,63.0,96.0,79.0,174.0,611.0,776.0,1067.0,852.0,798
EPS in Rs,5.06,5.39,7.37,5.79,12.73,44.8,56.88,78.2,62.47,58.51
