,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,108.0,102.0,95.0,65.0,51.0,52.0,73.0,75.0,61.0,63.0,69.0,76.0,86
Expenses,99.0,91.0,79.0,47.0,47.0,49.0,67.0,69.0,58.0,54.0,59.0,67.0,73
Operating Profit,9.0,11.0,17.0,17.0,4.0,3.0,6.0,5.0,3.0,9.0,10.0,9.0,13
OPM %,8.0,11.0,17.0,27.0,8.0,5.0,8.0,7.0,4.0,14.0,14.0,12.0,15
Other Income,1.0,4.0,2.0,2.0,3.0,3.0,4.0,7.0,6.0,17.0,18.0,15.0,13
Interest,4.0,4.0,5.0,6.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5
Depreciation,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2
Profit before tax,2.0,9.0,11.0,11.0,0.0,-0.0,5.0,7.0,3.0,20.0,20.0,18.0,19
Tax %,89.0,34.0,51.0,32.0,181.0,-21.0,4.0,11.0,-73.0,8.0,8.0,11.0,
Net Profit,0.0,6.0,5.0,8.0,-0.0,0.0,6.0,6.0,5.0,18.0,19.0,16.0,16
EPS in Rs,-0.54,1.13,2.06,2.93,-0.12,0.14,2.45,2.48,1.75,7.14,7.16,6.1,6.24
