,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1870.0,1799.0,2158.0,2432.0,2761.0,2595.0,2782.0,3684.0,4443.0,3980
Expenses,1681.0,1563.0,1886.0,2144.0,2408.0,2226.0,2334.0,3284.0,3875.0,3443
Operating Profit,190.0,236.0,271.0,288.0,353.0,369.0,449.0,401.0,568.0,537
OPM %,10.0,13.0,13.0,12.0,13.0,14.0,16.0,11.0,13.0,13
Other Income,2.0,6.0,10.0,10.0,5.0,6.0,11.0,13.0,10.0,16
Interest,34.0,34.0,27.0,31.0,30.0,24.0,13.0,13.0,22.0,23
Depreciation,45.0,45.0,47.0,49.0,51.0,62.0,74.0,71.0,83.0,93
Profit before tax,112.0,163.0,207.0,219.0,277.0,289.0,372.0,329.0,473.0,437
Tax %,40.0,37.0,29.0,28.0,31.0,20.0,19.0,20.0,19.0,
Net Profit,67.0,103.0,148.0,158.0,191.0,230.0,302.0,263.0,381.0,349
EPS in Rs,19.03,28.97,41.64,44.57,53.87,64.99,85.22,74.12,107.46,98.53
