,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,405.0,434.0,754.0,908.0,921.0,1491.0,1931.0,1216.0,1289.0,2320.0,3193.0,3543
Expenses,341.0,374.0,623.0,727.0,758.0,1202.0,1545.0,1008.0,1065.0,1802.0,2499.0,2778
Operating Profit,64.0,60.0,131.0,181.0,163.0,289.0,386.0,209.0,224.0,518.0,694.0,765
OPM %,16.0,14.0,17.0,20.0,18.0,19.0,20.0,17.0,17.0,22.0,22.0,22
Other Income,4.0,1.0,12.0,2.0,7.0,4.0,3.0,6.0,5.0,1.0,4.0,11
Interest,29.0,23.0,32.0,55.0,78.0,73.0,84.0,80.0,81.0,97.0,122.0,140
Depreciation,23.0,25.0,32.0,53.0,75.0,85.0,121.0,121.0,117.0,169.0,202.0,223
Profit before tax,16.0,13.0,79.0,75.0,17.0,135.0,184.0,15.0,32.0,253.0,374.0,413
Tax %,50.0,35.0,5.0,27.0,33.0,30.0,35.0,34.0,35.0,22.0,34.0,
Net Profit,8.0,8.0,75.0,55.0,11.0,95.0,120.0,10.0,21.0,198.0,248.0,290
EPS in Rs,0.83,0.65,5.49,3.81,0.78,5.82,7.36,0.59,1.29,12.36,15.52,18.00
