,2006-03-01,2007-03-01,2008-03-01,2009-03-01,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01
Sales,190.0,220.0,227.0,244.0,255.0,351.0,386.0,363.0,393.0,425.0,372.0,257.0
Expenses,163.0,190.0,196.0,213.0,218.0,299.0,326.0,305.0,366.0,373.0,348.0,253.0
Operating Profit,27.0,30.0,32.0,31.0,38.0,52.0,60.0,58.0,27.0,53.0,24.0,4.0
OPM %,14.0,14.0,14.0,13.0,15.0,15.0,15.0,16.0,7.0,12.0,6.0,2.0
Other Income,1.0,3.0,4.0,4.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,13.0
Interest,7.0,9.0,12.0,16.0,15.0,19.0,26.0,32.0,37.0,38.0,39.0,41.0
Depreciation,7.0,9.0,9.0,10.0,13.0,19.0,23.0,22.0,17.0,12.0,16.0,17.0
Profit before tax,14.0,16.0,15.0,8.0,11.0,18.0,12.0,7.0,-27.0,4.0,-29.0,-41.0
Tax %,39.0,42.0,38.0,46.0,39.0,33.0,21.0,24.0,-2.0,29.0,-14.0,-0.0
Net Profit,9.0,9.0,9.0,4.0,7.0,12.0,10.0,5.0,-28.0,3.0,-32.0,-40.0
EPS in Rs,8.72,8.17,8.55,3.91,6.32,11.21,8.81,4.79,-25.16,3.0,-29.52,-36.54
