,2005-03-01,2005-06-01,2005-09-01,2005-12-01,2006-03-01,2006-06-01,2006-09-01,2007-06-01
Sales,42.03,40.74,46.84,50.74,54.76,50.17,56.02,53.33
Expenses,36.83,35.14,40.92,44.08,46.43,43.05,48.2,45.59
Operating Profit,5.20,5.60,5.92,6.66,8.33,7.12,7.82,7.74
OPM %,12.37,13.75,12.64,13.13,15.21,14.19,13.96,14.51
Other Income,0.35,0.20,0.21,0.28,0.6,0.35,0.09,0.29
Interest,1.83,1.78,1.9,1.85,1.74,1.92,2.27,2.89
Depreciation,1.32,1.49,1.55,1.68,1.86,1.91,2.24,2.26
Profit before tax,2.40,2.53,2.68,3.41,5.33,3.64,3.4,2.88
Tax %,56.67,31.62,38.43,42.23,27.58,35.71,27.94,31.25
Net Profit,1.04,1.73,1.53,1.81,3.69,2.25,2.38,1.93
EPS in Rs,,,1.52,1.8,3.67,2.24,2.37,1.76
