,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.1,0.19,0.1,0.08,0.09,0.08,0.08,0.08,0.12,0.11,0.11,0.12,0.13
Expenses,0.1,0.19,0.09,0.07,0.09,0.09,0.14,0.13,0.16,0.14,0.13,0.13,0.14
Operating Profit,0.0,0.0,0.01,0.01,0.00,-0.01,-0.06,-0.05,-0.04,-0.03,-0.02,-0.01,-0.01
OPM %,0.0,0.0,10.0,12.5,0.00,-12.5,-75.0,-62.5,-33.33,-27.27,-18.18,-8.33,-7.69
Other Income,0.02,0.01,0.0,0.0,0.00,-1.12,0.07,0.06,0.05,0.04,0.03,0.02,0.01
Interest,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.02,0.01,0.01,0.01,0.00,-1.13,0.01,0.01,0.01,0.01,0.01,0.01,0.00
Tax %,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,0.02,0.0,0.0,0.0,0.00,-1.13,0.0,0.01,0.01,0.01,0.01,0.0,0.00
EPS in Rs,0.04,0.0,0.0,0.0,0.00,-2.24,0.0,0.02,0.02,0.02,0.02,0.0,0.00
