,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,64.58,0.55,4.56,0.35,8.36,5.64,9.3,20.42,21.83,5.53,10.05,5.07,3.74
Expenses,64.56,0.53,4.59,0.23,7.89,4.82,5.45,13.84,17.25,1.4,3.96,2.26,1.05
Operating Profit,0.02,0.02,-0.03,0.12,0.47,0.82,3.85,6.58,4.58,4.13,6.09,2.81,2.69
OPM %,0.03,3.64,-0.66,34.29,5.62,14.54,41.4,32.22,20.98,74.68,60.6,55.42,71.93
Other Income,-0.0,-0.0,0.09,-0.0,0.01,-0.0,-0.0,-0.0,0.06,0.3,2.26,-0.0,0.34
Interest,-0.0,-0.0,-0.0,0.01,0.03,-0.0,-0.0,0.02,0.05,-0.0,0.01,0.02,0.02
Depreciation,-0.0,0.01,0.01,-0.0,-0.0,-0.0,0.01,0.01,0.04,0.15,0.12,0.08,0.08
Profit before tax,0.02,0.01,0.05,0.11,0.45,0.82,3.84,6.55,4.55,4.28,8.22,2.71,2.93
Tax %,50.0,-0.0,20.0,18.18,26.67,29.27,27.6,27.94,26.37,22.2,18.37,26.94,
Net Profit,0.01,0.01,0.04,0.08,0.33,0.58,2.78,4.72,3.35,3.33,6.71,1.98,2.15
EPS in Rs,0.01,0.01,0.02,0.04,0.17,0.29,1.39,2.36,1.68,1.67,3.36,0.99,1.09
