,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,119.0,180.0,216.0,200.0,195.0,157.0,178.0,182.0,187
Expenses,111.0,156.0,185.0,169.0,175.0,147.0,169.0,172.0,176
Operating Profit,8.0,23.0,31.0,32.0,20.0,11.0,9.0,10.0,11
OPM %,7.0,13.0,14.0,16.0,10.0,7.0,5.0,6.0,6
Other Income,0.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,2
Interest,2.0,3.0,6.0,5.0,7.0,7.0,7.0,7.0,8
Depreciation,1.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3
Profit before tax,5.0,18.0,25.0,25.0,10.0,2.0,-1.0,2.0,3
Tax %,24.0,37.0,37.0,32.0,29.0,8.0,19.0,19.0,
Net Profit,4.0,11.0,16.0,17.0,7.0,2.0,-1.0,2.0,3
EPS in Rs,2.3,1.79,2.48,2.65,1.08,0.33,-0.09,0.29,0.41
