,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,335.0,367.0,393.0,407.0,426.0,413.0,358.0,412.0,690.0,862.0,876
Expenses,291.0,287.0,336.0,331.0,368.0,361.0,323.0,372.0,561.0,730.0,772
Operating Profit,43.0,80.0,57.0,76.0,58.0,52.0,35.0,40.0,129.0,132.0,104
OPM %,13.0,22.0,15.0,19.0,14.0,13.0,10.0,10.0,19.0,15.0,12
Other Income,20.0,13.0,6.0,5.0,6.0,16.0,8.0,3.0,22.0,17.0,32
Interest,39.0,31.0,27.0,21.0,18.0,22.0,26.0,44.0,43.0,55.0,62
Depreciation,31.0,30.0,22.0,21.0,33.0,32.0,34.0,48.0,50.0,57.0,58
Profit before tax,-7.0,32.0,15.0,38.0,14.0,14.0,-16.0,-49.0,57.0,38.0,16
Tax %,99.0,30.0,40.0,7.0,-28.0,-12.0,31.0,24.0,67.0,16.0,
Net Profit,-0.0,23.0,103.0,145.0,115.0,104.0,92.0,101.0,167.0,82.0,70
EPS in Rs,-0.05,24.52,111.43,157.82,125.48,113.55,100.08,109.98,181.07,88.81,76.07
