,Mar 2012,Mar 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,683,645.0,871.0,758.0,807.0,1085.0,1243.0,1228.0,1645.0,1819.0,2034.0,2059.0,2063
Expenses,659,535.0,824.0,772.0,726.0,869.0,1127.0,1056.0,1463.0,1601.0,1764.0,1814.0,1791
Operating Profit,24,110.0,47.0,-15.0,81.0,217.0,117.0,172.0,182.0,218.0,271.0,245.0,272
OPM %,4,17.0,5.0,-2.0,10.0,20.0,9.0,14.0,11.0,12.0,13.0,12.0,13
Other Income,-20,2.0,3.0,2.0,4.0,-1.0,11.0,9.0,10.0,7.0,14.0,9.0,9
Interest,68,70.0,99.0,75.0,50.0,74.0,80.0,80.0,79.0,86.0,75.0,52.0,52
Depreciation,27,30.0,41.0,23.0,17.0,23.0,24.0,27.0,29.0,29.0,33.0,36.0,37
Profit before tax,-91,12.0,-90.0,-112.0,18.0,119.0,24.0,74.0,84.0,110.0,177.0,165.0,192
Tax %,24,56.0,39.0,21.0,13.0,10.0,28.0,21.0,39.0,46.0,24.0,25.0,
Net Profit,-70,5.0,-55.0,-88.0,15.0,107.0,17.0,58.0,52.0,60.0,135.0,124.0,143
EPS in Rs,,1.43,-14.5,-23.12,4.06,27.95,4.46,15.24,13.54,15.67,35.38,32.41,37.40
