,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,747.0,728.0,801.0,1138.0,1423.0,1446.0,1527.0,2289.0,2650.0,2818
Expenses,712.0,693.0,750.0,1069.0,1356.0,1386.0,1465.0,2179.0,2540.0,2701
Operating Profit,35.0,35.0,51.0,69.0,67.0,60.0,62.0,110.0,109.0,118
OPM %,5.0,5.0,6.0,6.0,5.0,4.0,4.0,5.0,4.0,4
Other Income,2.0,2.0,2.0,3.0,4.0,4.0,3.0,8.0,7.0,14
Interest,15.0,14.0,11.0,18.0,30.0,29.0,26.0,28.0,34.0,37
Depreciation,7.0,8.0,8.0,11.0,16.0,19.0,18.0,18.0,18.0,19
Profit before tax,15.0,15.0,34.0,43.0,25.0,17.0,21.0,73.0,64.0,75
Tax %,35.0,35.0,34.0,36.0,35.0,13.0,26.0,25.0,27.0,
Net Profit,10.0,10.0,22.0,28.0,16.0,15.0,16.0,54.0,47.0,53
EPS in Rs,2.24,2.19,5.01,6.18,3.55,3.28,3.39,11.86,10.2,11.47
