,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,0,1581.0,3909.0,4802.0,6643.0,10885.0,12524.0,13872.0,15905.0,17091
Interest,0,649.0,1505.0,1770.0,2148.0,4562.0,4961.0,5157.0,6645.0,7605
Expenses,6,633.0,1044.0,1597.0,2467.0,3739.0,6534.0,11298.0,8693.0,8725
Financing Profit,-6,299.0,1360.0,1436.0,2028.0,2584.0,1029.0,-2584.0,567.0,761
Financing Margin %,,19.0,35.0,30.0,31.0,24.0,8.0,-19.0,4.0,4
Other Income,8,150.0,411.0,706.0,1063.0,1549.0,2022.0,2822.0,2469.0,2588
Depreciation,0,36.0,67.0,86.0,78.0,80.0,103.0,110.0,143.0,0
Profit before tax,2,414.0,1704.0,2056.0,3013.0,4053.0,2949.0,129.0,2893.0,3349
Tax %,75,33.0,35.0,35.0,35.0,25.0,25.0,2.0,24.0,
Net Profit,1,275.0,1112.0,1346.0,1952.0,3024.0,2205.0,126.0,2195.0,2541
EPS in Rs,0.01,2.51,10.15,11.28,16.36,18.78,13.69,0.78,13.62,15.78
