,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3747.0,4606.0,4376.0,6297.0,10394.0,12610.0,12576
Expenses,3034.0,3656.0,3710.0,4903.0,7793.0,11124.0,11219
Operating Profit,714.0,950.0,666.0,1394.0,2601.0,1486.0,1357
OPM %,19.0,21.0,15.0,22.0,25.0,12.0,11
Other Income,68.0,73.0,12.0,24.0,59.0,112.0,137
Interest,49.0,64.0,86.0,62.0,23.0,93.0,144
Depreciation,215.0,195.0,297.0,300.0,272.0,463.0,592
Profit before tax,517.0,764.0,295.0,1055.0,2364.0,1042.0,757
Tax %,-2.0,17.0,-15.0,20.0,27.0,19.0,
Net Profit,528.0,637.0,340.0,844.0,1724.0,848.0,1008
EPS in Rs,90.83,25.86,14.56,36.1,67.61,33.62,39.86
