,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.75,1.87,1.96,1.97,2.06,2.53,2.6,3.29,3.46,3.36,3.75,5.57,4.99
Expenses,0.19,0.38,0.32,0.42,0.74,0.32,1.18,2.47,1.82,1.85,2.04,3.03,3.17
Operating Profit,1.56,1.49,1.64,1.55,1.32,2.21,1.42,0.82,1.64,1.51,1.71,2.54,1.82
OPM %,89.14,79.68,83.67,78.68,64.08,87.35,54.62,24.92,47.4,44.94,45.6,45.6,36.47
Other Income,0.0,0.0,-0.11,0.0,-0.05,-0.4,-0.27,0.01,-0.32,0.01,0.01,0.24,1.59
Interest,0.29,0.17,0.18,0.04,0.03,0.06,0.02,0.03,0.08,0.07,0.07,0.7,0.83
Depreciation,0.01,0.01,0.01,0.01,0.01,0.41,0.05,0.1,0.04,0.03,0.04,0.03,0.03
Profit before tax,1.26,1.31,1.34,1.5,1.23,1.34,1.08,0.7,1.2,1.42,1.61,2.05,2.55
Tax %,33.33,32.82,32.09,32.67,33.33,32.09,29.63,11.43,22.5,30.99,18.01,25.85,
Net Profit,0.84,0.88,0.9,1.0,0.82,0.91,0.76,0.63,0.93,0.98,1.33,1.52,1.89
EPS in Rs,0.6,0.63,0.64,0.71,0.59,0.65,0.54,0.45,0.66,0.7,0.95,1.08,1.35
