,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,72,252,248,276,334.0,538.0,397.0,441.0,661.0,443.0,530
Expenses,0,69,239,235,249,310.0,495.0,375.0,408.0,622.0,426.0,509
Operating Profit,-0,3,13,13,27,25.0,42.0,22.0,33.0,39.0,17.0,21
OPM %,,5,5,5,10,7.0,8.0,5.0,7.0,6.0,4.0,4
Other Income,0,3,14,15,10,0.0,-2.0,5.0,2.0,4.0,8.0,8
Interest,0,6,15,13,13,10.0,16.0,12.0,12.0,13.0,10.0,13
Depreciation,0,1,5,5,9,8.0,13.0,13.0,15.0,14.0,9.0,10
Profit before tax,-0,-1,7,9,16,7.0,11.0,1.0,7.0,16.0,6.0,5
Tax %,31,128,-16,10,-44,109.0,13.0,-144.0,28.0,31.0,33.0,
Net Profit,-0,0,8,8,23,-1.0,9.0,3.0,5.0,11.0,4.0,4
EPS in Rs,,,,,,-0.62,9.2,3.1,3.47,7.28,2.69,2.41
