,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,8,10,10,11,15,15,15,15
Reserves,0,0,8,17,60,42,51,59,83,93,96,95
Borrowings,8,97,111,101,77,159,137,112,150,177,173,175
Other Liabilities,1,27,32,31,12,26,43,63,16,21,23,27
Total Liabilities,8,124,152,149,156,237,241,244,265,307,307,312
Fixed Assets,2,74,73,63,60,121,109,105,95,86,112,140
CWIP,2,0,0,0,0,0,4,0,0,0,26,0
Investments,0,0,0,0,0,0,6,6,6,39,34,51
Other Assets,5,50,78,86,96,116,121,133,163,182,135,121
Total Assets,8,124,152,149,156,237,241,244,265,307,307,312
