,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1069.0,1595.0,2012.0,2888.0,3775.0,4987.0,5050.0,10602.0,12096.0,12959
Expenses,1189.0,1439.0,1871.0,2673.0,3565.0,4544.0,6447.0,11962.0,11223.0,11994
Operating Profit,-120.0,156.0,141.0,215.0,210.0,443.0,-1397.0,-1360.0,873.0,965
OPM %,-11.0,10.0,7.0,7.0,6.0,9.0,-28.0,-13.0,7.0,7
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,7.0,5.0,5
Interest,1.0,2.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,19.0,18.0,20.0,23.0,28.0,29.0,46.0,43.0,52.0,0
Profit before tax,-140.0,137.0,118.0,171.0,182.0,413.0,-1446.0,-1397.0,826.0,969
Tax %,0.0,0.0,0.0,1.0,30.0,35.0,25.0,25.0,25.0,
Net Profit,-140.0,137.0,118.0,170.0,128.0,268.0,-1086.0,-1041.0,619.0,725
EPS in Rs,-3.87,3.53,2.59,3.73,2.81,5.46,-19.81,-18.08,10.63,12.47
