,Mar 2011,Mar 2012,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.0,103.0,165.0,208.0,199.0,284.0,290.0,309
Expenses,0.0,0.0,86.0,145.0,185.0,174.0,260.0,263.0,272
Operating Profit,0.0,0.0,16.0,20.0,22.0,24.0,24.0,26.0,37
OPM %,,,16.0,12.0,11.0,12.0,8.0,9.0,12
Other Income,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1
Interest,0.0,0.0,7.0,9.0,10.0,11.0,12.0,14.0,14
Depreciation,0.0,0.0,6.0,7.0,7.0,8.0,11.0,12.0,12
Profit before tax,0.0,0.0,3.0,5.0,6.0,5.0,3.0,1.0,12
Tax %,,,-60.0,12.0,47.0,39.0,53.0,-25.0,
Net Profit,0.0,0.0,5.0,5.0,3.0,3.0,1.0,1.0,8
EPS in Rs,0.0,0.0,4.5,3.22,2.36,2.25,1.01,0.62,5.95
