,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,6.23,4.44,4.13,3.06,0.00,0.00,0.36,0.36,0.24,0.24,0.21,6.62
Expenses,0.0,1.61,0.91,0.79,6.53,0.25,0.14,0.29,0.32,1.6,0.89,1.0,0.73
Operating Profit,0.0,4.62,3.53,3.34,-3.47,-0.25,-0.14,0.07,0.04,-1.36,-0.65,-0.79,5.89
OPM %,,74.16,79.5,80.87,-113.4,,,19.44,11.11,-566.67,-270.83,-376.19,88.97
Other Income,0.0,0.00,0.36,0.33,-0.23,1.08,0.08,0.0,0.15,-12.78,3.03,8.66,0.01
Interest,0.0,2.15,1.7,2.14,0.84,0.35,0.03,0.0,0.0,0.0,0.0,0.01,-0.08
Depreciation,0.0,2.39,2.85,3.69,2.84,1.93,1.94,1.94,1.94,0.0,0.0,0.0,0.00
Profit before tax,0.0,0.08,-0.66,-2.16,-7.38,-1.45,-2.03,-1.87,-1.75,-14.14,2.38,7.86,5.98
Tax %,,150.00,33.33,27.78,114.77,0.00,0.00,0.0,0.0,0.0,0.0,0.0,
Net Profit,0.0,-0.04,-0.43,-1.56,1.09,-1.46,-2.02,-1.87,-1.75,-14.14,2.38,7.86,5.98
EPS in Rs,,,-1.05,-3.79,2.65,-3.55,-4.91,-4.55,-4.26,-34.38,5.79,19.11,14.54
