,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.0,5.0,3.0,6.0,6.0,6.0,7.0,8.0,-0.0,27.0,37.0,19.0,32
Expenses,1.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,7.0,10.0,29.0,20.0,18
Operating Profit,1.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,-7.0,17.0,8.0,-1.0,14
OPM %,45.0,42.0,63.0,55.0,65.0,61.0,41.0,51.0,-96.0,64.0,23.0,-4.0,44
Other Income,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,1.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,-7.0,17.0,8.0,-0.0,15
Tax %,20.0,20.0,20.0,18.0,5.0,10.0,0.0,29.0,42.0,29.0,13.0,-171.0,
Net Profit,1.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,-4.0,12.0,7.0,-1.0,13
EPS in Rs,1.39,2.52,3.49,3.55,5.26,4.53,4.26,4.14,-6.05,17.69,10.61,-1.67,18.49
