,Jun 2011,Jun 2012,Jun 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,366.0,285.0,337.0,437.0,318.0,373.0,313.0,403.0,518.0,547.0,469.0,553.0,531
Expenses,340.0,271.0,305.0,478.0,300.0,309.0,300.0,381.0,475.0,517.0,457.0,552.0,528
Operating Profit,25.0,14.0,32.0,-41.0,18.0,64.0,13.0,22.0,43.0,30.0,13.0,1.0,3
OPM %,7.0,5.0,10.0,-9.0,6.0,17.0,4.0,5.0,8.0,6.0,3.0,0.0,1
Other Income,1.0,-12.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,106.0,3.0,1.0,1
Interest,20.0,19.0,36.0,57.0,42.0,41.0,43.0,45.0,25.0,27.0,26.0,27.0,27
Depreciation,6.0,6.0,15.0,24.0,26.0,19.0,18.0,19.0,18.0,19.0,18.0,19.0,19
Profit before tax,0.0,-22.0,-17.0,-120.0,-49.0,6.0,-47.0,-40.0,2.0,90.0,-29.0,-44.0,-42
Tax %,-742.0,10.0,0.0,0.0,-8.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,
Net Profit,4.0,-20.0,-17.0,-120.0,-53.0,6.0,-47.0,-40.0,2.0,90.0,-29.0,-44.0,-42
EPS in Rs,5.32,-29.4,-19.35,-120.03,-52.8,6.11,-46.35,-39.9,2.27,89.12,-28.66,-43.71,-41.51
