,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.63,1.25,0.05,0.04,0.03,0.00,1.2,0.46,0.33,0.38,0.35,0.32,0.90
Expenses,0.84,1.37,0.2,0.14,0.2,0.14,1.75,0.55,0.43,0.51,0.45,0.49,1.08
Operating Profit,-0.21,-0.12,-0.15,-0.1,-0.17,-0.14,-0.55,-0.09,-0.1,-0.13,-0.1,-0.17,-0.18
OPM %,-33.33,-9.6,-300.0,-250.0,-566.67,,-45.83,-19.57,-30.3,-34.21,-28.57,-53.12,-20.00
Other Income,0.1,-0.58,-0.32,0.0,0.3,0.28,0.45,0.36,0.3,0.31,0.29,0.23,0.35
Interest,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.04,0.03,0.02,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,-0.15,-0.73,-0.49,-0.1,0.13,0.14,-0.1,0.27,0.2,0.18,0.19,0.06,0.17
Tax %,0.0,0.0,0.0,0.0,7.69,21.43,0.0,18.52,20.0,11.11,42.11,16.67,
Net Profit,-0.15,-0.73,-0.48,-0.1,0.12,0.11,-0.1,0.21,0.16,0.16,0.1,0.05,0.14
EPS in Rs,-0.24,-1.15,-0.79,-0.16,0.2,0.18,-0.16,0.34,0.26,0.26,0.16,0.08,0.22
