,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1423.0,1826.0,2012.0,2184.0,2604.0,3193.0,3498
Expenses,949.0,1289.0,1394.0,1507.0,1806.0,2251.0,2487
Operating Profit,474.0,537.0,618.0,678.0,798.0,942.0,1011
OPM %,33.0,29.0,31.0,31.0,31.0,30.0,29
Other Income,53.0,75.0,153.0,94.0,20.0,63.0,78
Interest,23.0,32.0,35.0,28.0,24.0,45.0,48
Depreciation,131.0,164.0,219.0,274.0,310.0,366.0,397
Profit before tax,372.0,415.0,517.0,469.0,484.0,594.0,644
Tax %,18.0,20.0,20.0,14.0,18.0,22.0,
Net Profit,305.0,332.0,412.0,405.0,396.0,464.0,498
EPS in Rs,7.64,8.29,10.3,10.12,9.88,11.57,12.40
