,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1102.0,1479.0,1818.0,1492.0,1560.0,2217.0,3183.0,3946
Expenses,874.0,1185.0,1375.0,1095.0,1122.0,1683.0,2499.0,3148
Operating Profit,228.0,294.0,443.0,398.0,438.0,534.0,684.0,798
OPM %,21.0,20.0,24.0,27.0,28.0,24.0,21.0,20
Other Income,11.0,12.0,14.0,3.0,10.0,8.0,13.0,19
Interest,90.0,112.0,141.0,149.0,107.0,84.0,120.0,156
Depreciation,113.0,149.0,176.0,196.0,192.0,206.0,222.0,249
Profit before tax,37.0,44.0,140.0,56.0,149.0,252.0,355.0,413
Tax %,-117.0,28.0,30.0,28.0,35.0,35.0,29.0,
Net Profit,80.0,32.0,97.0,40.0,97.0,163.0,251.0,317
EPS in Rs,1387.02,313.39,48.39,19.88,46.08,77.19,117.56,141.19
