,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.0,31.0,66.0,64.0,52.0,51.0,79.0,48.0,44.0,46.0,49.0,47
Expenses,1.0,6.0,20.0,22.0,8.0,9.0,19.0,19.0,7.0,11.0,13.0,11
Operating Profit,26.0,25.0,46.0,42.0,44.0,42.0,61.0,29.0,37.0,35.0,35.0,36
OPM %,97.0,82.0,69.0,66.0,85.0,82.0,76.0,61.0,84.0,77.0,73.0,76
Other Income,0.0,2.0,1.0,1.0,1.0,3.0,6.0,21.0,1.0,1.0,1.0,1
Interest,9.0,13.0,20.0,21.0,21.0,21.0,26.0,18.0,15.0,12.0,10.0,9
Depreciation,9.0,9.0,15.0,16.0,24.0,18.0,33.0,20.0,16.0,16.0,16.0,16
Profit before tax,8.0,5.0,11.0,6.0,-1.0,5.0,7.0,13.0,7.0,8.0,10.0,12
Tax %,0.0,0.0,1.0,1.0,-20.0,20.0,47.0,19.0,39.0,24.0,18.0,
Net Profit,8.0,5.0,11.0,6.0,-1.0,4.0,4.0,11.0,4.0,8.0,10.0,12
EPS in Rs,207.0,134.5,283.75,120.6,-26.6,3.79,3.14,8.36,3.05,5.47,7.42,8.11
