,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,167.0,249.0,334.0,517.0,1082.0,1434.0,1570
Expenses,122.0,179.0,246.0,387.0,869.0,1146.0,1255
Operating Profit,46.0,70.0,88.0,130.0,213.0,288.0,315
OPM %,27.0,28.0,26.0,25.0,20.0,20.0,20
Other Income,0.0,0.0,6.0,41.0,72.0,54.0,54
Interest,1.0,1.0,1.0,4.0,7.0,11.0,15
Depreciation,8.0,10.0,13.0,20.0,32.0,49.0,60
Profit before tax,37.0,60.0,79.0,148.0,245.0,282.0,293
Tax %,24.0,18.0,17.0,9.0,12.0,13.0,
Net Profit,28.0,49.0,66.0,135.0,215.0,245.0,264
EPS in Rs,2.29,4.02,5.14,10.57,16.05,18.36,19.84
