,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,143.0,114.0,305.0,356.0,280.0,296.0,183.0,69.0,196.0,154.0,213.0,17.0,1
Expenses,260.0,123.0,291.0,351.0,271.0,267.0,167.0,93.0,193.0,120.0,187.0,30.0,10
Operating Profit,-116.0,-9.0,14.0,5.0,9.0,29.0,17.0,-25.0,3.0,34.0,26.0,-13.0,-9
OPM %,-81.0,-8.0,5.0,1.0,3.0,10.0,9.0,-36.0,1.0,22.0,12.0,-74.0,-979
Other Income,-58.0,25.0,-39.0,-39.0,-1.0,70.0,11.0,17.0,4.0,60.0,6.0,1.0,0
Interest,34.0,19.0,31.0,2.0,1.0,5.0,9.0,6.0,6.0,9.0,3.0,4.0,3
Depreciation,20.0,13.0,18.0,16.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15
Profit before tax,-227.0,-16.0,-74.0,-52.0,-9.0,79.0,5.0,-29.0,-15.0,69.0,14.0,-32.0,-27
Tax %,-3.0,0.0,0.0,-1.0,-14.0,0.0,0.0,-0.0,127.0,29.0,30.0,25.0,
Net Profit,-234.0,-16.0,-74.0,-52.0,-10.0,79.0,5.0,-29.0,4.0,49.0,10.0,-24.0,-21
EPS in Rs,-106.58,-7.24,-33.84,-23.83,-4.49,35.83,1.79,-9.97,1.34,15.86,2.64,-6.11,-5.45
