,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1706.0,1658.0,1619.0,2031.0,2326.0,2628.0,3459.0,4227.0,4884.0,4181.0,5727.0,6912.0,7468
Expenses,1556.0,1488.0,1466.0,1838.0,2083.0,2359.0,3120.0,3785.0,4388.0,3726.0,5138.0,6206.0,6700
Operating Profit,150.0,171.0,153.0,193.0,242.0,269.0,339.0,442.0,496.0,456.0,589.0,706.0,768
OPM %,9.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10
Other Income,1.0,2.0,1.0,5.0,5.0,10.0,9.0,7.0,16.0,20.0,15.0,28.0,35
Interest,96.0,109.0,112.0,120.0,127.0,124.0,111.0,136.0,129.0,57.0,40.0,35.0,34
Depreciation,20.0,20.0,21.0,25.0,25.0,28.0,32.0,34.0,57.0,58.0,55.0,57.0,59
Profit before tax,36.0,43.0,22.0,53.0,95.0,126.0,204.0,279.0,327.0,360.0,508.0,642.0,710
Tax %,32.0,39.0,47.0,35.0,35.0,26.0,29.0,35.0,22.0,25.0,26.0,26.0,
Net Profit,24.0,26.0,12.0,34.0,62.0,94.0,145.0,182.0,255.0,270.0,376.0,477.0,528
EPS in Rs,3.63,3.75,1.57,4.43,8.05,12.06,18.45,23.04,28.5,29.92,41.75,52.93,58.57
