,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,255.0,514.0,599.0,604.0,699.0,999.0,875.0,827.0,818.0,926.0,1070.0,937
Expenses,233.0,482.0,566.0,563.0,654.0,889.0,785.0,740.0,728.0,840.0,987.0,879
Operating Profit,22.0,33.0,33.0,40.0,44.0,110.0,90.0,87.0,91.0,86.0,83.0,58
OPM %,9.0,6.0,5.0,7.0,6.0,11.0,10.0,11.0,11.0,9.0,8.0,6
Other Income,0.0,0.0,5.0,5.0,11.0,20.0,21.0,19.0,8.0,6.0,2.0,-3
Interest,6.0,8.0,10.0,10.0,11.0,9.0,7.0,11.0,16.0,17.0,15.0,11
Depreciation,3.0,5.0,0.0,5.0,6.0,9.0,11.0,15.0,22.0,19.0,19.0,20
Profit before tax,14.0,20.0,28.0,30.0,37.0,113.0,94.0,81.0,61.0,56.0,51.0,24
Tax %,34.0,34.0,34.0,35.0,33.0,30.0,35.0,25.0,27.0,27.0,29.0,
Net Profit,9.0,13.0,18.0,19.0,25.0,79.0,61.0,61.0,44.0,41.0,36.0,16
EPS in Rs,6.28,6.71,7.65,8.03,10.47,25.31,19.46,19.4,14.17,13.14,11.48,5.03
