,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,42.0,36.01,41.06,43.29,26.89,6.69,0.00,0.13,0.00,3.24,16.39,12.84,27.81
Expenses,40.52,36.02,37.89,42.36,31.57,19.85,0.00,1.61,5.02,2.46,13.19,18.37,31.83
Operating Profit,1.48,-0.01,3.17,0.93,-4.68,-13.16,0.00,-1.48,-5.02,0.78,3.2,-5.53,-4.02
OPM %,3.52,-0.03,7.72,2.15,-17.4,-196.71,,-1138.46,,24.07,19.52,-43.07,-14.46
Other Income,0.02,0.17,-0.48,-0.02,0.87,0.93,51.77,0.49,1.54,3.74,0.9,0.38,0.41
Interest,1.49,1.56,1.49,1.67,1.53,1.32,0.00,0.0,0.19,0.12,0.7,1.6,3.39
Depreciation,0.66,0.65,0.62,0.6,0.6,0.59,0.00,0.04,0.21,0.0,0.04,0.22,0.38
Profit before tax,-0.65,-2.05,0.58,-1.36,-5.94,-14.14,51.77,-1.03,-3.88,4.4,3.36,-6.97,-7.38
Tax %,-3.08,-7.8,-25.86,-5.88,-7.91,-1.27,0.00,0.0,-277.06,15.23,-2.38,51.08,
Net Profit,-0.66,-2.2,0.72,-1.44,-6.4,-14.31,51.77,-1.03,-14.63,3.73,3.43,-3.42,-4.05
EPS in Rs,-0.82,-2.75,0.9,-1.8,-8.0,-17.89,64.71,-1.29,-18.29,4.66,4.27,-4.26,-5.04
