,Mar 2010,Mar 2011,Mar 2012,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,39.0,58.0,50.0,21.0,61.0,163.0,178
Expenses,0,39.0,57.0,47.0,26.0,54.0,145.0,160
Operating Profit,-0,1.0,1.0,3.0,-5.0,7.0,17.0,18
OPM %,-105,2.0,1.0,6.0,-24.0,11.0,11.0,10
Other Income,0,0.0,0.0,0.0,-4.0,0.0,4.0,2
Interest,0,0.0,0.0,1.0,2.0,2.0,6.0,6
Depreciation,0,0.0,0.0,1.0,0.0,1.0,3.0,4
Profit before tax,-0,0.0,0.0,1.0,-11.0,4.0,12.0,10
Tax %,0,150.0,300.0,0.0,0.0,0.0,3.0,
Net Profit,-0,-0.0,-0.0,1.0,-11.0,4.0,12.0,10
EPS in Rs,,-0.14,-0.16,2.22,-3.28,1.3,3.49,2.53
