,Mar 2012,Mar 2013,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.34,3.96,1.67,1.25,0.87,0.69,0.11,0.02,0.04,0.05,0.08
Expenses,1.04,2.95,0.77,0.48,0.46,0.32,0.29,0.21,0.22,0.38,0.31
Operating Profit,0.3,1.01,0.9,0.77,0.41,0.37,-0.18,-0.19,-0.18,-0.33,-0.23
OPM %,22.39,25.51,53.89,61.6,47.13,53.62,-163.64,-950.0,-450.0,-660.0,-287.50
Other Income,-0.0,0.03,-0.0,-0.0,0.09,-0.0,-0.0,-0.0,-0.14,-0.0,0.00
Interest,-0.0,0.02,-0.0,-0.0,0.06,0.06,-0.0,-0.0,-0.0,-0.0,0.00
Depreciation,0.21,0.61,1.45,1.32,1.68,0.9,0.81,0.8,0.8,0.61,0.61
Profit before tax,0.09,0.41,-0.55,-0.55,-1.24,-0.59,-0.99,-0.99,-1.12,-0.94,-0.84
Tax %,22.22,29.27,-0.0,-67.27,12.1,10.17,1.01,19.19,-1.79,7.45,
Net Profit,0.06,0.28,-0.55,-0.92,-1.08,-0.53,-0.98,-0.8,-1.14,-0.87,-0.77
EPS in Rs,0.09,0.28,-0.55,-0.92,-1.08,-0.53,-0.98,-0.8,-1.14,-0.87,-0.77
