,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,149.0,135.0,149.0,152.0,198.0,254.0,279
Expenses,102.0,114.0,118.0,101.0,112.0,138.0,149
Operating Profit,48.0,21.0,30.0,51.0,86.0,116.0,131
OPM %,32.0,16.0,20.0,34.0,44.0,46.0,47
Other Income,11.0,28.0,15.0,40.0,39.0,35.0,39
Interest,0.0,0.0,3.0,3.0,2.0,2.0,2
Depreciation,6.0,5.0,9.0,9.0,8.0,6.0,7
Profit before tax,53.0,44.0,34.0,79.0,115.0,143.0,161
Tax %,33.0,20.0,25.0,24.0,26.0,24.0,
Net Profit,35.0,35.0,25.0,60.0,86.0,109.0,125
EPS in Rs,92.39,92.13,66.11,157.01,16.07,20.27,23.22
