,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1687.0,979.0,1252.0,1562.0,1658.0,1271.0,922.0,1024.0,781.0,898.0,1099.0,1375.0,1223
Expenses,1539.0,883.0,1124.0,1387.0,1506.0,1197.0,933.0,1000.0,710.0,764.0,993.0,1279.0,1148
Operating Profit,148.0,96.0,127.0,175.0,152.0,74.0,-11.0,24.0,71.0,134.0,106.0,97.0,75
OPM %,9.0,10.0,10.0,11.0,9.0,6.0,-1.0,2.0,9.0,15.0,10.0,7.0,6
Other Income,14.0,20.0,7.0,12.0,11.0,-46.0,-39.0,-1.0,-1.0,77.0,20.0,5.0,6
Interest,108.0,63.0,80.0,128.0,123.0,157.0,136.0,10.0,3.0,26.0,88.0,106.0,104
Depreciation,17.0,12.0,15.0,25.0,27.0,30.0,29.0,30.0,27.0,43.0,24.0,24.0,23
Profit before tax,38.0,40.0,39.0,35.0,14.0,-159.0,-215.0,-17.0,39.0,143.0,14.0,-28.0,-47
Tax %,29.0,-32.0,8.0,18.0,46.0,1.0,21.0,-114.0,-64.0,2.0,-704.0,-108.0,
Net Profit,27.0,53.0,36.0,28.0,7.0,-157.0,-170.0,-37.0,64.0,140.0,116.0,-59.0,-77
EPS in Rs,0.52,1.03,0.69,0.55,0.14,-2.07,-2.24,-0.48,0.85,1.74,1.32,-0.57,-0.78
