,Mar 2012,Mar 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.23,6.93,3.32,0.63,0.56,0.39,0.2,0.45,0.03,0.99,3.62,0.88,0.88
Expenses,1.75,1.89,2.39,25.97,1.84,1.12,1.55,1.92,0.67,0.59,2.3,0.62,0.61
Operating Profit,6.48,5.04,0.93,-25.34,-1.28,-0.73,-1.35,-1.47,-0.64,0.4,1.32,0.26,0.27
OPM %,78.74,72.73,28.01,-4022.22,-228.57,-187.18,-675.0,-326.67,-2133.33,40.4,36.46,29.55,30.68
Other Income,-0.0,0.75,7.22,23.03,0.22,0.34,0.41,-0.0,-0.0,5.16,-10.22,0.86,1.05
Interest,5.61,5.41,7.74,1.99,0.92,0.27,0.24,0.21,0.19,0.16,-0.0,-0.0,0.00
Depreciation,0.18,0.14,0.29,0.08,0.16,0.16,0.09,0.07,0.06,0.06,0.02,0.01,0.00
Profit before tax,0.69,0.24,0.12,-4.38,-2.14,-0.82,-1.27,-1.75,-0.89,5.34,-8.92,1.11,1.32
Tax %,42.03,33.33,8.33,-0.23,0.93,2.44,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
Net Profit,0.41,0.17,0.12,-4.39,-2.12,-0.8,-1.28,-1.74,-0.89,5.34,-8.92,1.11,1.31
EPS in Rs,0.46,0.19,0.13,-4.88,-2.36,-0.89,-1.42,-1.93,-0.99,5.93,-5.95,0.74,0.87
