,Sep 2011,Sep 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,287.0,255.0,273.0,550.0,346.0,336.0,463.0,390.0,531.0,503.0,548.0,576.0,699
Expenses,275.0,237.0,240.0,520.0,316.0,290.0,446.0,352.0,481.0,447.0,475.0,526.0,625
Operating Profit,13.0,17.0,32.0,30.0,30.0,46.0,17.0,38.0,50.0,56.0,73.0,50.0,74
OPM %,4.0,7.0,12.0,6.0,9.0,14.0,4.0,10.0,9.0,11.0,13.0,9.0,11
Other Income,4.0,2.0,3.0,7.0,6.0,11.0,37.0,14.0,11.0,4.0,10.0,11.0,10
Interest,15.0,14.0,13.0,14.0,17.0,10.0,11.0,8.0,18.0,11.0,12.0,14.0,15
Depreciation,12.0,10.0,9.0,14.0,9.0,10.0,13.0,12.0,15.0,15.0,15.0,16.0,20
Profit before tax,-11.0,-6.0,13.0,9.0,10.0,37.0,29.0,32.0,28.0,34.0,56.0,31.0,48
Tax %,-4.0,-11.0,1.0,17.0,-17.0,0.0,35.0,24.0,34.0,23.0,26.0,26.0,
Net Profit,-11.0,-6.0,13.0,7.0,12.0,37.0,19.0,24.0,18.0,26.0,41.0,23.0,36
EPS in Rs,-1.22,-0.68,1.37,0.81,1.27,4.03,2.05,2.64,2.0,2.85,4.51,2.52,3.91
