,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,23.0,33.0,38.0,37.0,33.0,43.0,52.0,79.0,73.0,77.0,89.0,93
Expenses,17.0,24.0,29.0,29.0,27.0,37.0,42.0,69.0,53.0,63.0,73.0,76
Operating Profit,6.0,9.0,10.0,9.0,6.0,6.0,10.0,10.0,21.0,14.0,16.0,17
OPM %,25.0,28.0,26.0,23.0,17.0,13.0,20.0,12.0,29.0,18.0,18.0,18
Other Income,0.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,4
Interest,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1
Profit before tax,6.0,8.0,9.0,10.0,6.0,6.0,10.0,12.0,19.0,15.0,16.0,18
Tax %,34.0,37.0,35.0,29.0,40.0,40.0,25.0,48.0,27.0,3.0,26.0,
Net Profit,4.0,5.0,6.0,7.0,4.0,4.0,8.0,6.0,13.0,15.0,12.0,13
EPS in Rs,66.73,95.99,100.8,129.71,78.32,3.95,4.87,3.79,7.73,8.51,6.93,7.56
