,2012-03-01,2013-09-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,74,74,74,74,74,76,77,77,77,77,77
Reserves,-33,22,4,35,22,1,-10,-24,-36,-61,-74
Preference Capital,81,0,0,0,0,16,16,16,16,16,16
Borrowings,126,142,143,161,165,159,170,171,158,157,160
Other Liabilities,95,58,25,14,17,54,47,50,56,67,72
Total Liabilities,262,295,246,284,279,289,284,274,255,239,235
Fixed Assets,225,219,207,198,206,209,206,202,198,177,172
CWIP,0,1,1,2,6,13,18,19,21,28,31
Investments,0,0,0,4,26,13,11,11,0,0,0
Other Assets,37,75,38,81,40,54,48,41,36,34,32
Total Assets,262,295,246,284,279,289,284,274,255,239,235
