,Mar 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.0,100.0,2.0,138.0,2.0,23.0,58.0,18.0,2.0,4.0,2.0,3
Expenses,7.0,101.0,7.0,127.0,8.0,36.0,64.0,24.0,4.0,7.0,3.0,5
Operating Profit,-6.0,-0.0,-6.0,11.0,-6.0,-13.0,-6.0,-6.0,-3.0,-3.0,-2.0,-2
OPM %,-1114.0,-0.0,-357.0,8.0,-245.0,-54.0,-10.0,-34.0,-172.0,-66.0,-123.0,-76
Other Income,11.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,-12.0,0.0,0
Interest,14.0,19.0,19.0,13.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,6
Depreciation,4.0,8.0,12.0,9.0,10.0,4.0,4.0,4.0,4.0,5.0,4.0,4
Profit before tax,-12.0,-27.0,-37.0,-10.0,-18.0,-21.0,-11.0,-16.0,-12.0,-25.0,-12.0,-12
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,-4.0,
Net Profit,-12.0,-27.0,-37.0,-10.0,-18.0,-21.0,-11.0,-16.0,-12.0,-25.0,-13.0,-13
EPS in Rs,-1.63,-3.59,-4.97,-1.4,-2.48,-2.86,-1.52,-2.22,-1.64,-3.35,-1.69,-1.73
