,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Sales,18.24,19.49,24.85,52.87,20.36,18.23,22.31,30.9,20.98,3.3,3.43,11.13,4.42
Expenses,19.07,22.21,23.5,51.35,21.92,19.89,21.1,28.66,22.63,7.24,11.7,13.93,7.02
Operating Profit,-0.83,-2.72,1.35,1.52,-1.56,-1.66,1.21,2.24,-1.65,-3.94,-8.27,-2.8,-2.60
OPM %,-4.55,-13.96,5.43,2.87,-7.66,-9.11,5.42,7.25,-7.86,-119.39,-241.11,-25.16,-58.82
Other Income,0.93,0.84,1.49,1.63,1.68,1.07,-0.78,0.23,0.12,3.64,9.04,-1.57,0.01
Interest,0.29,0.5,0.52,0.46,0.81,0.92,1.37,1.62,1.7,1.95,0.86,0.28,-0.16
Depreciation,0.96,0.93,0.86,0.86,0.84,0.82,0.71,0.65,0.63,0.28,0.01,0.01,0.00
Profit before tax,-1.15,-3.31,1.46,1.83,-1.53,-2.33,-1.65,0.2,-3.86,-2.53,-0.1,-4.66,-2.43
Tax %,1.74,9.97,0.0,20.22,5.23,-3.0,0.0,0.0,-0.52,-7.51,0.0,0.0,
Net Profit,-1.13,-2.98,1.46,1.46,-1.45,-2.41,-1.65,0.2,-3.89,-2.72,-0.1,-4.65,-2.45
EPS in Rs,-0.79,-2.09,1.02,1.02,-1.02,-1.69,-1.16,0.14,-2.72,-1.9,-0.07,-3.26,-1.72
