,Mar 2011,Mar 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1782.0,1874.0,1948.0,1747.0,873.0,797.0,683.0,600.0,484.0,450.0,560.0,666.0,751
Expenses,1437.0,1517.0,1837.0,1429.0,703.0,794.0,659.0,612.0,515.0,421.0,505.0,581.0,653
Operating Profit,345.0,357.0,110.0,317.0,171.0,3.0,24.0,-12.0,-31.0,29.0,55.0,84.0,99
OPM %,19.0,19.0,6.0,18.0,20.0,0.0,4.0,-2.0,-6.0,7.0,10.0,13.0,13
Other Income,77.0,52.0,92.0,156.0,-28.0,-59.0,20.0,218.0,24.0,15.0,67.0,52.0,53
Interest,117.0,180.0,523.0,537.0,294.0,347.0,310.0,7.0,6.0,52.0,33.0,33.0,25
Depreciation,134.0,154.0,252.0,325.0,145.0,141.0,133.0,130.0,118.0,109.0,87.0,55.0,31
Profit before tax,172.0,75.0,-573.0,-389.0,-296.0,-544.0,-399.0,69.0,-131.0,-117.0,2.0,48.0,97
Tax %,9.0,-29.0,2.0,49.0,6.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,156.0,97.0,-560.0,-197.0,-279.0,-495.0,-353.0,69.0,-131.0,-117.0,-2.0,46.0,96
EPS in Rs,22.17,13.84,-79.21,-23.06,-31.37,-55.69,-39.65,7.8,-32.11,-28.55,-0.48,11.35,22.10
