,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.53,42.89,54.9,54.92,51.26,54.48,59.03,67.18,94.35,62.46,76.98,58.4,62.94
Expenses,35.4,42.73,53.48,53.62,50.21,53.51,57.41,65.11,92.72,60.86,75.32,56.26,60.51
Operating Profit,0.13,0.16,1.42,1.3,1.05,0.97,1.62,2.07,1.63,1.6,1.66,2.14,2.43
OPM %,0.37,0.37,2.59,2.37,2.05,1.78,2.74,3.08,1.73,2.56,2.16,3.66,3.86
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,1.41,0.00
Interest,0.0,0.0,1.25,1.19,0.99,0.84,1.16,1.53,1.45,1.4,1.49,1.76,1.87
Depreciation,0.01,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.02,0.04,0.03,0.06
Profit before tax,0.12,0.14,0.14,0.08,0.02,0.09,0.31,0.5,0.14,0.18,0.13,1.76,0.50
Tax %,25.0,28.57,35.71,25.0,50.0,33.33,41.94,28.0,50.0,27.78,30.77,14.2,
Net Profit,0.08,0.09,0.09,0.05,0.02,0.06,0.19,0.37,0.08,0.13,0.09,1.51,0.38
EPS in Rs,2.9,3.26,1.13,0.63,0.25,0.75,0.26,0.51,0.05,0.08,0.05,0.9,0.22
