,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,71.62,73.76,75.0,56.06,59.3,56.71,51.74,68.11,15.18,17.27,29.65,54.62,72.90
Expenses,31.64,41.3,45.13,29.6,31.5,39.17,35.77,55.98,15.79,20.53,30.19,43.26,57.18
Operating Profit,39.98,32.46,29.87,26.46,27.8,17.54,15.97,12.13,-0.61,-3.26,-0.54,11.36,15.72
OPM %,55.82,44.01,39.83,47.2,46.88,30.93,30.87,17.81,-4.02,-18.88,-1.82,20.8,21.56
Other Income,2.49,2.87,3.78,0.88,1.56,3.03,4.7,4.35,3.81,8.09,22.08,3.8,3.32
Interest,5.28,4.41,3.39,5.05,3.49,2.32,1.05,2.0,0.98,0.58,0.49,0.41,1.04
Depreciation,24.77,18.63,15.29,14.64,14.86,15.02,12.3,9.3,1.51,1.62,3.32,6.91,6.66
Profit before tax,12.42,12.29,14.97,7.65,11.01,3.23,7.32,5.18,0.71,2.63,17.73,7.84,11.34
Tax %,9.98,35.23,37.47,30.46,30.06,19.81,26.5,23.36,88.73,38.02,28.26,33.42,
Net Profit,11.18,7.96,9.37,5.33,7.7,2.59,5.38,3.97,0.08,1.63,12.72,5.22,7.61
EPS in Rs,1.41,1.01,1.18,0.67,0.97,0.3,0.58,0.45,0.05,0.25,1.61,0.63,0.91
