,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.0,18.0,0.0,28.0,242.0,1.0,1.0,69.0,1041.0,186.0,197.0,96.0,59
Expenses,-13.0,-12.0,-24.0,-13.0,197.0,-67.0,-101.0,-75.0,930.0,171.0,155.0,126.0,117
Operating Profit,15.0,29.0,25.0,41.0,45.0,68.0,102.0,143.0,111.0,15.0,41.0,-30.0,-58
OPM %,775.0,166.0,18892.0,147.0,19.0,7349.0,6960.0,209.0,11.0,8.0,21.0,-31.0,-97
Other Income,8.0,13.0,21.0,45.0,86.0,112.0,117.0,128.0,187.0,145.0,45.0,35.0,35
Interest,27.0,46.0,51.0,96.0,137.0,163.0,216.0,269.0,371.0,152.0,68.0,58.0,63
Depreciation,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1
Profit before tax,-4.0,-4.0,-6.0,-11.0,-7.0,16.0,3.0,2.0,-76.0,6.0,17.0,-55.0,-86
Tax %,-6.0,-15.0,-2.0,-0.0,-1.0,23.0,-40.0,74.0,32.0,91.0,13.0,25.0,
Net Profit,-29.0,-4.0,8.0,12.0,-4.0,13.0,4.0,0.0,-52.0,1.0,15.0,-39.0,-62
EPS in Rs,-12.04,-1.53,3.11,5.05,-1.74,5.19,1.49,0.18,-18.54,0.22,3.97,-10.21,-16.30
