,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,294.0,294.0,363.0,398.0,444.0,466.0,460.0,503.0,530.0,303.0,608.0,779.0,839
Expenses,221.0,220.0,270.0,301.0,340.0,368.0,362.0,391.0,435.0,284.0,508.0,628.0,671
Operating Profit,73.0,74.0,93.0,97.0,104.0,99.0,98.0,112.0,95.0,19.0,100.0,152.0,168
OPM %,25.0,25.0,26.0,24.0,23.0,21.0,21.0,22.0,18.0,6.0,16.0,19.0,20
Other Income,12.0,12.0,12.0,8.0,7.0,17.0,21.0,22.0,18.0,17.0,17.0,20.0,34
Interest,3.0,3.0,3.0,3.0,3.0,3.0,5.0,7.0,9.0,7.0,5.0,6.0,6
Depreciation,6.0,6.0,5.0,4.0,4.0,5.0,6.0,8.0,8.0,7.0,7.0,9.0,10
Profit before tax,76.0,77.0,97.0,98.0,104.0,108.0,109.0,119.0,96.0,22.0,105.0,157.0,186
Tax %,32.0,31.0,31.0,32.0,34.0,31.0,33.0,33.0,24.0,13.0,22.0,24.0,
Net Profit,52.0,53.0,67.0,66.0,68.0,75.0,73.0,80.0,73.0,19.0,82.0,119.0,142
EPS in Rs,8.46,8.67,10.88,10.75,11.03,12.11,11.89,13.04,11.86,3.15,13.25,19.36,23.08
