,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2971.29,2275.13,2635.96,1062.07,2326.08,315.17,76.31,74.89,86.11,62.2,69.39,64.22,64.15
Expenses,2920.53,2233.32,2609.79,1097.8,2282.1,271.21,58.77,58.87,64.66,37.71,112.41,39.6,44.35
Operating Profit,50.76,41.81,26.17,-35.73,43.98,43.96,17.54,16.02,21.45,24.49,-43.02,24.62,19.80
OPM %,1.71,1.84,0.99,-3.36,1.89,13.95,22.99,21.39,24.91,39.37,-62.0,38.34,30.87
Other Income,27.18,22.42,14.7,88.23,0.6,5.07,15.92,6.84,11.09,2.31,122.16,2.74,13.73
Interest,38.02,24.79,28.77,31.02,35.87,33.98,22.43,19.15,16.81,12.83,11.2,8.94,7.72
Depreciation,26.0,22.23,15.18,12.62,11.23,22.24,24.09,21.84,21.28,19.01,16.62,15.63,15.42
Profit before tax,13.92,17.21,-3.08,8.86,-2.52,-7.19,-13.06,-18.13,-5.55,-5.04,51.32,2.79,10.39
Tax %,31.18,69.44,57.14,66.59,-140.87,2.36,34.07,14.18,-11.89,-5.16,27.57,54.84,
Net Profit,9.59,5.67,0.97,3.01,-5.25,-7.02,-8.61,-15.56,-6.21,-5.3,37.18,1.26,9.96
EPS in Rs,0.47,0.28,0.05,0.15,-0.26,-0.34,-0.42,-0.76,-0.3,-0.26,1.81,0.06,0.49
