,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,156.0,109.0,142.0,89.0,77.0,98.0,129.0,127.0,85.0,102
Expenses,156.0,108.0,141.0,88.0,79.0,100.0,118.0,125.0,95.0,105
Operating Profit,-0.0,1.0,1.0,0.0,-2.0,-2.0,11.0,2.0,-10.0,-3
OPM %,-0.0,1.0,1.0,0.0,-3.0,-2.0,9.0,2.0,-11.0,-3
Other Income,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Profit before tax,1.0,1.0,1.0,0.0,-2.0,-3.0,12.0,2.0,-9.0,-2
Tax %,38.0,34.0,33.0,196.0,26.0,-82.0,14.0,39.0,24.0,
Net Profit,2.0,3.0,1.0,-0.0,-2.0,-5.0,10.0,1.0,-7.0,-0
EPS in Rs,7.65,16.22,0.56,-0.23,-1.52,-4.08,8.64,1.46,-7.12,-0.14
