,Mar 2012,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.0,14.0,17.0,25.0,41.0,36.0,38.0,84.0,82.0,107.0,116.0,118
Expenses,3.0,13.0,16.0,24.0,38.0,35.0,36.0,83.0,78.0,99.0,110.0,111
Operating Profit,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,7.0,7.0,7
OPM %,11.0,6.0,7.0,2.0,7.0,4.0,5.0,1.0,4.0,7.0,6.0,6
Other Income,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,4.0,0.0,1.0,1
Interest,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,5.0,5
Depreciation,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2
Profit before tax,0.0,1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,2.0,1.0,0.0,1
Tax %,33.0,32.0,56.0,12.0,31.0,30.0,29.0,-38.0,1.0,27.0,140.0,
Net Profit,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,-1.0,2.0,0.0,-0.0,1
EPS in Rs,18.0,41.0,1.6,-13.2,16.4,2.42,2.85,-2.19,5.25,1.44,-0.09,2.49
