,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,5,5,5,14,14,14,14,14,16,16
Reserves,6,16,17,2,7,24,31,33,32,40,61,62
Borrowings,16,15,16,13,21,14,18,22,23,27,17,29
Other Liabilities,26,27,36,38,19,18,19,64,35,51,31,59
Total Liabilities,49,57,73,58,52,70,82,133,104,132,125,167
Fixed Assets,16,15,13,11,8,9,9,8,8,10,15,20
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,1,3,4
Other Assets,33,42,61,47,44,61,73,125,96,122,107,142
Total Assets,49,57,73,58,52,70,82,133,104,132,125,167
