,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,229.0,263.0,275.0,246.0,200.0,214.0,256.0,400.0,315.0,583.0,590.0,471
Expenses,222.0,249.0,265.0,257.0,191.0,203.0,243.0,392.0,312.0,567.0,576.0,463
Operating Profit,7.0,14.0,10.0,-12.0,9.0,11.0,13.0,7.0,3.0,16.0,15.0,8
OPM %,3.0,5.0,4.0,-5.0,5.0,5.0,5.0,2.0,1.0,3.0,2.0,2
Other Income,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Interest,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3
Depreciation,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3
Profit before tax,3.0,9.0,4.0,-16.0,5.0,8.0,11.0,4.0,-0.0,14.0,10.0,4
Tax %,39.0,34.0,42.0,0.0,-6.0,5.0,32.0,44.0,-1580.0,32.0,47.0,
Net Profit,2.0,6.0,2.0,-16.0,6.0,8.0,7.0,2.0,-1.0,9.0,5.0,1
EPS in Rs,38.6,188.6,19.97,-30.98,11.18,5.52,5.02,1.46,-0.6,6.46,3.25,0.60
