,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,82.0,113.0,119.0,120.0,158.0,175.0,248.0,278.0,299.0,368.0,402.0,443
Expenses,71.0,95.0,99.0,100.0,137.0,166.0,225.0,240.0,248.0,321.0,338.0,373
Operating Profit,11.0,18.0,20.0,20.0,21.0,9.0,23.0,38.0,52.0,47.0,64.0,70
OPM %,13.0,16.0,17.0,16.0,13.0,5.0,9.0,14.0,17.0,13.0,16.0,16
Other Income,1.0,1.0,1.0,2.0,3.0,5.0,7.0,8.0,3.0,6.0,13.0,12
Interest,5.0,5.0,6.0,5.0,6.0,7.0,8.0,10.0,10.0,9.0,10.0,11
Depreciation,4.0,3.0,4.0,4.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,11
Profit before tax,3.0,10.0,11.0,12.0,15.0,1.0,14.0,28.0,36.0,35.0,56.0,60
Tax %,50.0,22.0,31.0,39.0,32.0,72.0,44.0,28.0,16.0,7.0,8.0,
Net Profit,1.0,8.0,8.0,7.0,10.0,0.0,8.0,20.0,31.0,32.0,52.0,55
EPS in Rs,1.56,8.07,7.96,7.6,10.54,0.29,6.51,16.98,25.71,26.95,42.98,46.12
