,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1080.0,1280.0,1198.0,2009.0,1905.0,1729.0,2322.0,2815.0,2056.0,1123.0,967.0,245.0,33
Expenses,731.0,915.0,886.0,1564.0,374.0,440.0,1449.0,1855.0,1699.0,675.0,673.0,406.0,255
Operating Profit,349.0,365.0,312.0,445.0,1531.0,1289.0,873.0,960.0,358.0,448.0,295.0,-162.0,-222
OPM %,32.0,29.0,26.0,22.0,80.0,75.0,38.0,34.0,17.0,40.0,30.0,-66.0,-675
Other Income,56.0,22.0,42.0,31.0,71.0,244.0,125.0,94.0,406.0,97.0,78.0,68.0,81
Interest,377.0,376.0,380.0,404.0,642.0,493.0,470.0,464.0,414.0,343.0,289.0,67.0,59
Depreciation,95.0,99.0,130.0,180.0,1012.0,868.0,419.0,494.0,392.0,253.0,256.0,63.0,6
Profit before tax,-66.0,-88.0,-156.0,-107.0,-52.0,172.0,109.0,95.0,-43.0,-51.0,-172.0,-224.0,-206
Tax %,19.0,-5.0,15.0,-7.0,30.0,37.0,35.0,41.0,-99.0,-50.0,-31.0,-0.0,
Net Profit,-53.0,-93.0,-128.0,-115.0,-37.0,109.0,71.0,56.0,-86.0,-77.0,-225.0,-225.0,-208
EPS in Rs,-4.77,-9.29,-12.92,-10.34,-2.25,6.7,4.37,3.07,-4.21,-4.18,-12.02,-11.78,-10.92
