,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,55.95,75.09,90.29,96.12,98.94,93.36,113.28,82.13,-13.32,0.00,0.00,0.00,0.0
Expenses,44.63,60.69,75.1,82.45,84.67,79.02,95.27,111.8,32.46,1.45,1.37,1.75,1.54
Operating Profit,11.32,14.4,15.19,13.67,14.27,14.34,18.01,-29.67,-45.78,-1.45,-1.37,-1.75,-1.54
OPM %,20.23,19.18,16.82,14.22,14.42,15.36,15.9,-36.13,-9952.17,,,,
Other Income,0.08,0.11,0.17,0.21,0.38,0.3,0.79,0.64,0.22,0.02,0.00,0.00,0.0
Interest,6.18,6.95,7.59,7.8,7.75,7.66,8.85,9.37,5.13,0.00,0.00,0.00,0.0
Depreciation,0.57,0.73,0.82,0.95,1.06,1.08,1.1,1.73,1.65,1.45,1.41,1.38,1.43
Profit before tax,4.65,6.83,6.95,5.13,5.84,5.9,8.85,-40.13,-52.34,-2.88,-2.78,-3.13,-2.9699999999999998
Tax %,40.43,19.18,22.73,15.79,22.77,33.05,16.38,-0.37,0.94,4.51,5.76,6.39,
Net Profit,2.77,5.52,5.37,4.32,4.51,3.95,7.41,-40.28,-51.84,-2.75,-2.62,-2.94,-2.9699999999999998
EPS in Rs,3.08,6.14,5.97,4.81,5.02,2.59,4.86,-26.43,-34.01,-1.80,-2.54,-2.06,-2.07
