,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1554.0,1983.0,2505.0,2808.0,3321.0,3711.0,3849.0,4470.0,4986.0,2602.0,4273.0,4505.0,4502
Expenses,1370.0,1760.0,2183.0,2495.0,3010.0,3293.0,3440.0,4052.0,4320.0,2520.0,4002.0,4257.0,4209
Operating Profit,184.0,224.0,322.0,313.0,311.0,418.0,409.0,419.0,667.0,81.0,271.0,248.0,293
OPM %,12.0,11.0,13.0,11.0,9.0,11.0,11.0,9.0,13.0,3.0,6.0,6.0,7
Other Income,29.0,28.0,34.0,25.0,26.0,23.0,21.0,47.0,58.0,353.0,6225.0,581.0,398
Interest,29.0,44.0,39.0,39.0,40.0,43.0,35.0,40.0,94.0,35.0,161.0,141.0,146
Depreciation,61.0,77.0,86.0,105.0,136.0,143.0,141.0,178.0,291.0,117.0,345.0,455.0,490
Profit before tax,122.0,131.0,231.0,193.0,160.0,255.0,254.0,247.0,339.0,282.0,5991.0,232.0,55
Tax %,13.0,31.0,27.0,15.0,37.0,30.0,22.0,29.0,39.0,-19.0,-1.0,-44.0,
Net Profit,106.0,91.0,170.0,165.0,100.0,179.0,199.0,176.0,206.0,336.0,6061.0,334.0,113
EPS in Rs,25.75,21.98,41.15,39.86,24.31,43.27,48.23,42.49,48.43,80.39,1446.78,63.22,21.58
