,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,803.0,890.0,1006.0,1135.0,1151.0,2181.0,2131.0,2369.0,2599.0,2463.0,2625.0,2983.0,2638
Expenses,721.0,802.0,907.0,1033.0,1030.0,1931.0,1911.0,2146.0,2305.0,2228.0,2515.0,2825.0,2453
Operating Profit,82.0,88.0,100.0,102.0,121.0,251.0,220.0,223.0,294.0,235.0,110.0,158.0,186
OPM %,10.0,10.0,10.0,9.0,11.0,11.0,10.0,9.0,11.0,10.0,4.0,5.0,7
Other Income,16.0,8.0,12.0,16.0,13.0,15.0,13.0,17.0,17.0,8.0,-22.0,17.0,6
Interest,1.0,1.0,1.0,1.0,26.0,39.0,33.0,41.0,23.0,27.0,28.0,33.0,33
Depreciation,32.0,35.0,34.0,36.0,39.0,93.0,85.0,85.0,87.0,98.0,92.0,86.0,59
Profit before tax,65.0,61.0,77.0,81.0,68.0,133.0,115.0,114.0,202.0,118.0,-32.0,56.0,100
Tax %,20.0,27.0,29.0,21.0,28.0,39.0,45.0,69.0,16.0,18.0,28.0,11.0,
Net Profit,53.0,45.0,55.0,65.0,49.0,82.0,64.0,35.0,170.0,96.0,-23.0,50.0,99
EPS in Rs,8.39,7.18,8.7,8.89,6.75,11.21,8.42,4.62,22.52,12.71,-3.0,6.57,13.11
