,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,273.0,257.0,239.0,356.0,449.0,489.0,618.0,530.0,300.0,272.0,316.0,287.0,266
Expenses,251.0,219.0,204.0,307.0,372.0,439.0,544.0,447.0,294.0,247.0,266.0,239.0,231
Operating Profit,22.0,38.0,35.0,49.0,77.0,50.0,74.0,84.0,7.0,26.0,51.0,48.0,35
OPM %,8.0,15.0,14.0,14.0,17.0,10.0,12.0,16.0,2.0,9.0,16.0,17.0,13
Other Income,17.0,8.0,9.0,5.0,-12.0,4.0,1.0,6.0,-317.0,3.0,5.0,-11.0,-6
Interest,5.0,4.0,7.0,11.0,15.0,15.0,19.0,32.0,31.0,29.0,26.0,18.0,16
Depreciation,13.0,17.0,15.0,17.0,21.0,22.0,24.0,30.0,25.0,25.0,24.0,25.0,24
Profit before tax,21.0,26.0,22.0,26.0,29.0,18.0,33.0,27.0,-366.0,-25.0,6.0,-7.0,-10
Tax %,5.0,0.0,0.0,3.0,13.0,47.0,36.0,61.0,2.0,-1.0,107.0,-100.0,
Net Profit,20.0,26.0,22.0,25.0,26.0,10.0,21.0,11.0,-359.0,-25.0,-0.0,-14.0,-19
EPS in Rs,1.37,1.74,1.46,1.67,1.57,0.59,1.28,0.66,-22.08,-1.56,-0.03,-0.83,-1.18
