,Mar 2010,Mar 2011,Mar 2012,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,35.0,44.0,58.0,172.0,181.0,212.0,166.0,235.0,277.0,241.0,224
Expenses,32.0,40.0,52.0,158.0,165.0,195.0,156.0,218.0,260.0,237.0,221
Operating Profit,3.0,5.0,6.0,13.0,15.0,17.0,10.0,16.0,17.0,5.0,2
OPM %,9.0,11.0,10.0,8.0,9.0,8.0,6.0,7.0,6.0,2.0,1
Other Income,0.0,1.0,0.0,0.0,0.0,2.0,6.0,4.0,6.0,4.0,3
Interest,1.0,2.0,2.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,4
Depreciation,1.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4
Profit before tax,2.0,3.0,2.0,5.0,8.0,11.0,7.0,11.0,13.0,1.0,-2
Tax %,47.0,41.0,33.0,36.0,34.0,33.0,29.0,31.0,32.0,32.0,
Net Profit,1.0,2.0,2.0,3.0,5.0,7.0,5.0,9.0,9.0,5.0,1
EPS in Rs,1.01,1.5,1.6,3.38,5.04,7.45,5.35,8.74,9.22,5.37,0.97
