,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,81.0,85.0,97.0,130.0,139.0,267.0,220.0,172.0,325.0,434
Expenses,78.0,77.0,82.0,110.0,119.0,223.0,189.0,142.0,300.0,401
Operating Profit,3.0,8.0,16.0,19.0,20.0,44.0,31.0,30.0,25.0,33
OPM %,4.0,9.0,16.0,15.0,15.0,16.0,14.0,18.0,8.0,8
Other Income,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
Interest,1.0,2.0,3.0,3.0,4.0,10.0,8.0,6.0,16.0,20
Depreciation,1.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,7
Profit before tax,5.0,6.0,12.0,16.0,16.0,32.0,20.0,21.0,4.0,8
Tax %,33.0,49.0,34.0,28.0,26.0,24.0,23.0,25.0,26.0,
Net Profit,3.0,3.0,8.0,12.0,12.0,24.0,15.0,16.0,3.0,7
EPS in Rs,0.58,0.62,1.43,2.16,2.18,4.51,2.86,2.89,0.59,1.32
