,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,85.0,122.0,123.0,145.0,165.0,172.0,157.0,194.0,311.0,256.0,315.0
Expenses,84.0,119.0,119.0,141.0,160.0,166.0,152.0,189.0,295.0,240.0,298.0
Operating Profit,2.0,3.0,4.0,4.0,5.0,6.0,5.0,5.0,16.0,16.0,17.0
OPM %,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,6.0,5.0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
Depreciation,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Profit before tax,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,14.0,14.0,15.0
Tax %,33.0,33.0,32.0,31.0,35.0,35.0,28.0,26.0,27.0,27.0,27.0
Net Profit,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,10.0,10.0,11.0
EPS in Rs,2.52,2.33,4.0,3.43,0.12,0.11,0.13,0.15,0.83,0.81,0.85
