,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,192.0,168.0,110.0,60.0,62.0,203.0,232.0,235.0,235.0,64.0,98.0,87.0,61
Expenses,175.0,160.0,102.0,56.0,56.0,190.0,209.0,205.0,229.0,55.0,87.0,95.0,69
Operating Profit,17.0,8.0,8.0,4.0,6.0,13.0,23.0,30.0,6.0,8.0,11.0,-8.0,-8
OPM %,9.0,5.0,7.0,7.0,10.0,7.0,10.0,13.0,3.0,13.0,11.0,-9.0,-13
Other Income,1.0,9.0,12.0,28.0,5.0,4.0,5.0,6.0,3.0,2.0,6.0,10.0,9
Interest,2.0,5.0,10.0,25.0,15.0,17.0,23.0,34.0,47.0,56.0,53.0,44.0,32
Depreciation,1.0,1.0,3.0,2.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6
Profit before tax,16.0,12.0,6.0,4.0,-9.0,-5.0,-1.0,-5.0,-44.0,-52.0,-42.0,-47.0,-37
Tax %,28.0,38.0,23.0,44.0,-2.0,-79.0,-279.0,-13.0,-2.0,2.0,-1.0,-3.0,
Net Profit,11.0,7.0,5.0,3.0,-9.0,-8.0,-3.0,-6.0,-45.0,-51.0,-42.0,-48.0,-37
EPS in Rs,7.61,5.03,3.83,2.61,-0.99,-5.31,1.46,-1.61,-36.39,-40.74,-33.91,-38.75,-29.26
